Weighting,Starting Battery Capacity (Wh),Route Distance (m),Travel Time (s),CS stops,CS Stop Duration (s),Algorithm Runtime (s),Remaining Battery Capacity At End (Wh),Number of EVs Charging,Start Edge,End Edge
A,500,4191.04,1041.00,1,[172],0.5920064449310303,1329.86,[1],-28037846#0,-294963698#0
A,500,8.92,6.00,0,[],0.00400233268737793,498.67,[],-159238327#2,159238321#1
A,500,3247.53,2251.00,1,[372],0.3137702941894531,1118.73,[0],512392959#1,-28026216#3
A,500,2749.62,682.00,1,[172],0.378324031829834,1658.96,[1],28038935#1,-28038166
A,500,88.80,17.00,0,[],0.004003286361694336,481.17,[],-28039373,448366044#0
A,500,4285.17,1682.00,1,[172],1.0223760604858398,1448.41,[1],28037764#1,-3663345#3
A,500,5.52,4.00,0,[],0.003503561019897461,499.27,[],27946710#8,400901674
A,500,3650.20,2450.00,1,[231],0.35430455207824707,922.61,[2],-833500#2,167121171#1
A,500,3854.41,1359.00,1,[242],0.455890417098999,1336.46,[1],171750815#0,28037780#0
A,500,4709.11,1561.00,1,[495],0.9593231678009033,1698.47,[1],366428193#6,28022561
A,500,4053.92,2313.00,1,[172],0.7846724987030029,0.00,[1],-28039391#2,-28025131
A,500,4357.75,1481.00,1,[495],0.5284538269042969,1241.78,[1],122066624#0,-163566186#5
A,500,2760.76,1661.00,1,[311],0.23019766807556152,1213.40,[1],156338950#0,-614669116#0
A,500,2259.50,1051.00,1,[234],0.11159563064575195,1567.53,[0],448447730,-79707638#1
A,500,1668.02,1471.00,1,[231],0.05104470252990723,1968.92,[2],-799717919,-732478288#1
A,500,4100.34,3962.00,1,[242],0.49442434310913086,1367.02,[1],156338938#0,-28022557
A,500,2.37,3.00,0,[],0.0035021305084228516,499.60,[],-229076199,4910567#4
A,500,2746.64,3757.00,1,[242],0.6040184497833252,1229.15,[1],398354894#0,37900666
A,500,4305.23,2713.00,1,[372],0.9328000545501709,1122.35,[0],-79707631,452551904
A,500,2967.19,1802.00,1,[231],0.4518864154815674,1424.42,[2],-243048595,171879650#2
A,500,6384.79,4281.00,1,[452],1.042393684387207,1595.29,[1],-155105720#1,163383626#4
A,500,1153.82,2117.00,1,[231],0.024520158767700195,1323.91,[2],4910570#2,154830592#0
A,500,1711.48,1227.00,1,[311],0.07456278800964355,1132.09,[1],-616806974#1,-163383001#0
A,500,5182.41,4123.00,1,[231],0.47490668296813965,1010.03,[2],154830592#3,27994829#6
A,500,4188.16,2983.00,1,[231],0.8292105197906494,1327.45,[2],154830667#2,28027800#2
A,500,3521.84,2211.00,1,[231],0.8312122821807861,3034.16,[2],4910564#4,28027796#1
A,500,2681.14,882.00,1,[172],0.5699894428253174,1311.14,[1],-27942667#0,86402043#0
A,500,1952.15,1329.00,1,[231],0.05704832077026367,100.29,[2],818552205#1,-145038303
A,500,4369.19,2537.00,1,[231],0.8412213325500488,1023.63,[2],gneE32,-27943766#2
